State,City,Population,Crime Index total,Modified Crime Index total1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,,,,,,,
,Bergenfield,"25,402",280,280,               -,             -,10,12,39,204,15,           -,,,,,,,
,Berkeley Heights Township,"13,535",62,62,               -,             -,1,                   -,8,50,3,           -,,,,,,,
,Berkeley Township,"44,176",751,756,               -,3,5,35,147,533,28,5,,,,,,,
,Bernards Township,"24,593",196,199,1,             -,              -,1,26,166,2,3,,,,,,,
,Bloomfield,"44,701","1,622","1,625",               -,4,88,44,299,813,374,3,,,,,,,
,Branchburg Township,"15,567",177,180,               -,             -,1,7,19,145,5,3,,,,,,,
,Brick Township,"78,794","1,595","1,605",1,6,16,82,284,"1,150",56,10,,,,,,,
,Bridgeton,"18,969","1,340","1,345",2,18,106,226,294,617,77,5,,,,,,,
,Bridgewater Township,"44,416",661,663,               -,3,6,11,68,525,48,2,,,,,,,
,Brigantine,"12,012",370,371,               -,1,7,24,73,254,11,1,,,,,,,
,Burlington Township,"17,604",615,623,               -,4,11,25,65,464,46,8,,,,,,,
,Camden,"85,142","6,504","6,713",24,69,670,904,"1,175","2,504","1,158",209,,,,,,,
,Carteret,"19,554",545,549,               -,3,12,45,140,291,54,4,,,,,,,
,Cedar Grove Township,"12,328",239,242,               -,             -,              -,18,29,183,9,3,,,,,,,
,Chatham Township,"10,321",63,63,2,1,1,2,4,50,3,           -,,,,,,,
,Cherry Hill Township,"70,834","2,528","2,537",               -,3,83,59,231,"1,925",227,9,,,,,,,
,Cinnaminson Township,"15,270",321,323,               -,3,11,13,38,228,28,2,,,,,,,
,Clark Township,"15,106",198,198,               -,1,              -,                   -,16,173,8,           -,,,,,,,
,Cliffside Park,"21,845",330,330,               -,1,16,30,59,191,33,           -, ,,,,,,
,Clifton,"78,187","2,284","2,284",1,6,108,105,408,"1,318",338,           -,,,,,,,
,Clinton Township,"13,346",123,123,               -,             -,              -,4,18,97,4,           -,,,,,,,
,Collingswood,"15,017",427,428,               -,4,11,18,57,295,42,1,,,,,,,
,Colts Neck Township,"10,371",120,120,               -,1,3,12,27,74,3,           -,,,,,,,
,Cranford Township,"23,452",461,461,               -,3,              -,17,90,334,17,           -,,,,,,,
,Delran Township,"14,790",459,461,               -,5,7,20,68,328,31,2,,,,,,,
,Denville Township,"16,373",243,248,               -,             -,2,12,27,182,20,5,,,,,,,
,Deptford Township,"25,994","1,526","1,535",               -,3,34,43,182,"1,136",128,9,,,,,,,
,Dover,"16,539",460,461,1,5,13,33,85,278,45,1,,,,,,,
,Dover Township,"90,387","2,581","2,606",2,7,41,112,463,"1,843",113,25,,,,,,,
,Dumont,"18,146",172,174,               -,             -,1,8,18,141,4,2,,,,,,,
,East Brunswick Township,"48,221",988,998,               -,7,10,19,90,807,55,10,,,,,,,
,East Hanover Township,"12,859",280,280,               -,             -,              -,19,18,215,28,           -,,,,,,,
,East Orange,"72,123","5,050","5,118",12,50,608,555,768,"2,024","1,033",68,,,,,,,
,East Windsor Township,"23,313",502,502,1,2,4,15,54,394,32,           -,,,,,,,
,Eatontown,"14,344",583,585,               -,2,7,10,64,477,23,2,,,,,,,
,Edison Township,"98,803","2,633","2,646",2,4,48,208,390,"1,607",374,13,,,,,,,
,Egg Harbor Township,"28,202","1,298","1,306",2,7,30,67,156,974,62,8,,,,,,,
,Elizabeth,"114,266","7,062","7,072",11,18,558,280,906,"3,236","2,053",10,,,,,,,
,Elmwood Park,"18,835",457,458,               -,             -,21,6,87,306,37,1,,,,,,,
,Englewood,"26,057",719,723,               -,             -,19,38,155,458,49,4,,,,,,,
,Evesham Township,"41,519",814,825,               -,7,20,16,151,588,32,11,,,,,,,
,Ewing Township,"35,131","1,261","1,267",1,10,65,52,219,714,200,6,,,,,,,
,Fair Lawn,"32,133",523,527,               -,2,19,25,89,367,21,4,,,,,,,
,Fairview,"11,694",162,163,               -,             -,6,18,28,63,47,1,,,,,,,
,Florence Township,"11,159",258,262,               -,             -,6,13,47,175,17,4,,,,,,,
,Fort Lee,"34,980",646,647,1,2,12,11,142,441,37,1,,,,,,,
,Franklin Lakes,"10,939",130,131,               -,             -,1,3,30,94,2,1,,,,,,,
,Franklin Township (Gloucester County),"15,890",361,364,               -,             -,8,17,84,218,34,3,,,,,,,
,Franklin Township (Somerset County),"50,996","1,120","1,141",               -,9,39,43,278,612,139,21,,,,,,,
,Freehold,"11,066",386,386,               -,1,33,23,60,242,27,           -,,,,,,,
,Freehold Township,"33,884",986,987,               -,             -,9,13,52,887,25,1,,,,,,,
,Galloway Township,"29,840",679,682,               -,1,16,37,140,455,30,3,,,,,,,
,Garfield,"28,142",677,682,               -,8,26,23,145,380,95,5,,,,,,,
,Glassboro,"18,352",860,862,               -,15,28,38,137,609,33,2,,,,,,,
,Glen Rock,"11,481",145,146,               -,             -,1,                   -,22,118,4,1,,,,,,,
,Gloucester City,"12,620",302,302,               -,2,7,13,45,210,25,           -,,,,,,,
,Gloucester Township,"60,832","1,775","1,792",3,15,47,125,302,"1,118",165,17,,,,,,,
,Hackensack,"38,909","1,385","1,390",               -,2,53,102,110,989,129,5,,,,,,,
,Haddonfield,"11,222",235,237,               -,1,2,5,32,189,6,2,,,,,,,
,Haddon Township,"14,747",356,358,               -,1,14,10,60,257,14,2,,,,,,,
,Hamilton Township (Atlantic County),"19,252",972,986,1,2,14,50,140,741,24,14,,,,,,,
,Hamilton Township (Mercer County),"88,929","2,347","2,354",1,3,89,68,505,"1,430",251,7,,,,,,,
,Hammonton,"13,217",240,240,1,             -,4,22,54,149,10,           -,,,,,,,
,Hanover Township,"13,872",179,179,               -,             -,5,8,35,120,11,           -,,,,,,,
,Harrison,"13,331",478,482,               -,             -,20,26,69,253,110,4,,,,,,,
,Hasbrouck Heights,"12,112",220,220,               -,             -,1,3,56,142,18,           -,,,,,,,
,Hawthorne,"19,044",271,272,               -,2,6,4,36,203,20,1,,,,,,,
,Hazlet Township,"23,201",343,344,               -,             -,3,12,30,281,17,1,,,,,,,
,Highland Park,"13,633",243,244,               -,3,2,4,46,178,10,1,,,,,,,
,Hillsborough Township,"36,998",359,362,               -,5,4,8,68,265,9,3,,,,,,,
,Hillsdale,"10,410",106,107,               -,1,1,3,11,86,4,1,,,,,,,
,Hillside Township,"21,652","1,198","1,200",               -,7,51,30,235,537,338,2,,,,,,,
,Hoboken,"34,525","1,435","1,435",1,4,55,81,292,794,208,           -,,,,,,,
,Holmdel Township,"16,197",214,220,               -,4,1,4,32,172,1,6,,,,,,,
,Hopatcong,"16,866",198,199,               -,1,1,16,45,132,3,1,,,,,,,
,Hopewell Township,"15,153",152,152,               -,             -,3,10,22,111,6,           -,,,,,,,
,Howell Township,"48,058",634,639,               -,             -,14,45,99,442,34,5,,,,,,,
,Irvington,"57,921","5,121","5,178",12,40,793,733,"1,056","1,147","1,340",57,,,,,,,
,Jackson Township,"43,732",657,661,               -,             -,7,36,149,434,31,4,,,,,,,
,Jefferson Township,"19,983",283,285,               -,             -,2,8,79,183,11,2,,,,,,,
,Jersey City,"238,125","12,437","12,503",17,74,"1,237","1,528","2,465","4,682","2,434",66,,,,,,,
,Keansburg,"11,689",297,298,1,2,2,23,46,216,7,1,,,,,,,
,Kearny,"36,161","1,327","1,341",1,             -,43,39,123,915,206,14,,,,,,,
,Lacey Township,"26,106",514,516,               -,             -,3,11,78,405,17,2,,,,,,,
,Lakewood Township,"53,544","2,077","2,085",4,26,103,107,424,"1,285",128,8,,,,,,,
,Lawrence Township,"28,590","1,361","1,363",               -,4,25,22,163,941,206,2,,,,,,,
,Lincoln Park,"11,634",105,107,               -,             -,              -,2,4,90,9,2,,,,,,,
,Linden,"38,272","1,705","1,710",2,4,88,56,223,999,333,5,,,,,,,
,Lindenwold,"18,373",786,794,3,7,52,73,221,345,85,8,,,,,,,
,Little Egg Harbor Township,"15,535",364,367,               -,4,1,13,52,276,18,3,,,,,,,
,Little Falls Township,"12,826",341,342,               -,             -,5,21,35,236,44,1,,,,,,,
,Little Ferry,"10,474",245,246,               -,1,5,5,18,173,43,1,,,,,,,
,Livingston Township,"27,415",740,742,               -,             -,8,17,45,608,62,2,,,,,,,
,Lodi,"23,489",654,658,1,             -,17,41,102,417,76,4,,,,,,,
,Long Branch,"30,278","1,094","1,096",               -,6,60,83,227,661,57,2,,,,,,,
,Lower Township,"22,604",672,682,               -,16,4,27,91,504,30,10,,,,,,,
,Lyndhurst Township,"19,209",423,426,               -,1,9,8,58,295,52,3,,,,,,,
,Madison,"16,367",254,255,               -,             -,              -,6,61,179,8,1,,,,,,,
,Mahwah Township,"22,685",266,266,               -,             -,2,8,44,196,16,           -,,,,,,,
,Manalapan Township,"34,377",357,358,               -,2,2,19,67,246,21,1,,,,,,,
,Manchester Township,"40,157",442,448,2,             -,4,22,75,326,13,6,,,,,,,
,Mantua Township,"13,536",312,313,               -,             -,4,13,44,224,27,1,,,,,,,
,Manville,"11,234",172,172,               -,             -,3,4,16,132,17,           -,,,,,,,
,Maple Shade Township,"19,073",565,568,               -,4,20,28,117,323,73,3,,,,,,,
,Maplewood Township,"21,399",615,618,1,             -,45,27,85,323,134,3,,,,,,,
,Marlboro Township,"37,816",421,425,               -,2,9,21,93,271,25,4,,,,,,,
,Medford Township,"22,897",326,327,               -,             -,3,8,41,263,11,1,,,,,,,
,Metuchen,"13,421",253,253,               -,2,1,10,53,171,16,           -,,,,,,,
,Middlesex,"13,737",177,177,               -,             -,9,5,9,144,10,           -,,,,,,,
,Middle Township,"16,521",742,747,               -,6,13,37,152,494,40,5,,,,,,,
,Middletown Township,"70,789",789,791,               -,3,6,48,120,596,16,2,,,,,,,
,Millburn Township,"18,348",857,861,               -,             -,10,9,41,723,74,4,,,,,,,
,Millville,"27,466","1,420","1,428",1,18,66,106,340,817,72,8,,,,,,,
,Monroe Township (Gloucester County),"31,128",722,730,               -,2,12,40,144,461,63,8,,,,,,,
,Monroe Township (Middlesex County),"27,650",245,245,               -,             -,2,20,47,169,7,           -,,,,,,,
,Montclair,"37,380","1,310","1,313",               -,6,37,58,310,714,185,3,,,,,,,
,Montgomery Township,"15,335",239,239,               -,             -,              -,3,43,187,6,           -,,,,,,,
,Montville Township,"21,849",252,252,               -,2,1,6,47,178,18,           -,,,,,,,
,Moorestown Township,"18,105",560,560,               -,1,23,11,89,415,21,           -,,,,,,,
,Morristown,"17,020",859,862,               -,9,62,63,103,554,68,3,,, ,,,,
,Morris Township,"22,867",203,203,               -,3,6,13,21,148,12,           -,,,,,,,
,Mount Holly Township,"10,441",632,635,               -,1,25,37,103,425,41,3, ,,,,,,
,Mount Laurel Township,"39,420",806,807,               -,5,16,12,138,573,62,1,,,,,,,
,Mount Olive Township,"24,012",317,320,               -,             -,5,16,67,221,8,3,,,,,,,
,Neptune Township,"30,167","1,148","1,156",2,2,32,49,251,751,61,8,,,,,,,
,Newark,"271,839","19,663","19,880",58,95,"1,923","2,016","2,765","7,364","5,442",217,,,,,,,
,New Brunswick,"42,961","2,997","3,002",4,14,208,105,540,"1,837",289,5,,,,,,,
,New Milford,"16,884",156,157,               -,             -,2,3,31,112,8,1,,,,,,,
,New Providence,"12,179",130,131,               -,             -,3,3,12,103,9,1,,,,,,,
,North Arlington,"14,573",215,215,               -,             -,5,17,29,143,21,           -,,,,,,,
,North Bergen Township,"49,380","1,795","1,796",1,7,42,78,298,958,411,1,,,,,,,
,North Brunswick Township,"36,795",883,885,1,9,22,34,146,589,82,2,,,,,,,
,North Hanover Township,"10,360",62,62,               -,             -,              -,6,22,29,5,           -,,,,,,,
,North Plainfield,"19,533",672,678,               -,3,41,9,150,411,58,6,,,,,,,
,Nutley Township,"26,621",503,507,               -,             -,10,34,111,292,56,4,,,,,,,
,Oakland,"12,984",135,137,               -,             -,              -,4,25,105,1,2,,,,,,,
,Ocean City,"15,646","1,168","1,168",1,2,9,20,196,934,6,           -,,,,,,,
,Ocean Township (Monmouth County),"27,964",627,634,               -,             -,12,23,97,475,20,7,,,,,,,
,Old Bridge Township,"61,170",952,962,               -,8,17,35,171,628,93,10,,,,,,,
,Orange,"30,001","2,749","2,755",8,14,320,208,544,"1,044",611,6,,,,,,,
,Palisades Park,"15,564",214,215,               -,             -,6,11,53,119,25,1,,,,,,,
,Paramus,"26,738","2,473","2,486",1,4,54,77,117,"1,980",240,13,,,,,,,
,Parsippany-Troy Hills Township,"52,163",883,886,               -,3,22,35,239,503,81,3,,,,,,,
,Passaic,"63,208","3,104","3,115",7,8,360,459,519,"1,138",613,11,,,,,,,
,Paterson,"153,589","6,443","6,454",17,24,580,583,"1,307","2,601","1,331",11,,,,,,,
,Pemberton Township,"32,440",778,787,               -,8,28,50,166,475,51,9,,,,,,,
,Pennsauken Township,"34,616","1,728","1,748",1,8,98,79,357,929,256,20,,,,,,,
,Pennsville Township,"13,821",334,335,               -,2,4,11,41,262,14,1,,,,,,,
,Pequannock Township,"15,104",221,225,               -,             -,1,6,52,145,17,4,,,,,,,
,Perth Amboy,"43,680","1,606","1,608",               -,12,79,123,397,806,189,2,,,,,,,
,Phillipsburg,"16,503",368,372,1,1,14,10,111,204,27,4,,,,,,,
,Pine Hill,"10,744",258,263,               -,1,11,16,60,153,17,5,,,,,,,
,Piscataway Township,"54,494","1,276","1,285",2,8,29,53,180,909,95,9,,,,,,,
,Plainfield,"47,773","2,774","2,799",3,21,335,317,525,"1,234",339,25,,,,,,,
,Plainsboro Township,"16,361",273,281,               -,3,6,10,41,193,20,8,,,,,,,
,Pleasantville,"18,108",909,919,               -,5,68,54,225,484,73,10,,,,,,,
,Point Pleasant,"20,231",405,405,               -,             -,3,10,42,346,4,           -,,,,,,,
,Pompton Lakes,"11,377",110,111,               -,1,1,7,9,87,5,1,,,,,,,
,Princeton,"12,312",607,607,               -,             -,2,5,131,462,7,           -,,,,,,,
,Princeton Township,"14,994",203,204,               -,             -,3,2,43,151,4,1,,,,,,,
,Rahway,"26,047",882,884,2,4,31,32,204,522,87,2,,,,,,,
,Ramsey,"14,656",233,234,               -,1,4,10,23,181,14,1,,,,,,,
,Randolph Township,"23,995",285,288,               -,             -,1,5,30,238,11,3,,,,,,,
,Raritan Township,"19,541",248,248,               -,             -,2,15,28,192,11,           -,,,,,,,
,Readington Township,"17,324",178,180,               -,             -,1,8,33,134,2,2,,,,,,,
,Red Bank,"11,354",347,348,               -,             -,6,20,19,291,11,1,,,,,,,
,Ridgefield,"10,478",111,112,               -,1,2,4,27,68,9,1,,,,,,,
,Ridgefield Park,"13,097",228,231,               -,3,3,4,46,142,30,3,,,,,,,
,Ridgewood,"25,303",263,263,               -,1,3,6,56,184,13,           -,,,,,,,
,Ringwood,"13,746",121,122,               -,             -,              -,2,21,95,3,1,,,,,,,
,River Edge,"11,114",111,111,               -,             -,1,1,16,85,8,           -,,,,,,,
,River Vale Township,"10,274",25,25,               -,             -,              -,1,3,21,             -,           -,,,,,,,
,Rockaway Township,"22,741",736,740,               -,3,12,12,61,603,45,4,,,,,,,
,Roselle,"20,815",706,706,1,3,42,48,166,344,102,           -,,,,,,,
,Roselle Park,"13,169",230,231,               -,2,6,11,45,135,31,1,,,,,,,
,Roxbury Township,"24,960",476,476,               -,             -,4,28,53,366,25,           -,,,,,,,
,Rutherford,"18,673",366,368,               -,1,9,7,91,227,31,2,,,,,,,
,Saddle Brook Township,"13,985",335,336,               -,             -,7,5,28,276,19,1,,,,,,,
,Sayreville,"39,911",897,907,               -,8,22,64,176,541,86,10,,,,,,,
,Scotch Plains Township,"23,838",334,334,               -,5,11,10,55,234,19,           -,,,,,,,
,Secaucus,"14,162",596,596,               -,             -,12,15,7,449,113,           -,,,,,,,
,Somers Point,"11,493",373,376,               -,5,8,29,70,246,15,3,,,,,,,
,Somerville,"12,154",363,365,2,7,20,15,40,251,28,2,, ,,,,,
,South Brunswick Township,"34,993",657,664,               -,             -,1,24,107,482,43,7,,,,,,,
,South Orange,"16,880",771,773,               -,1,46,23,126,407,168,2,,,,,,,
,South Plainfield,"21,889",685,690,               -,4,20,21,65,529,46,5,,,,,,,
,South River,"14,449",161,162,1,1,6,32,26,87,8,1,,,,,,,
,Sparta Township,"18,470",145,145,1,1,              -,1,28,111,3,           -,,,,,,,
,Springfield,"13,976",416,416,               -,             -,10,11,38,256,101,           -,,,,,,,
,Stafford Township,"18,794",571,573,               -,1,4,15,97,436,18,2,, ,,,,,
,Summit,"20,304",519,520,               -,1,3,3,38,437,37,1,,,,,,,
,Teaneck Township,"39,857",646,665,               -,4,26,48,152,381,35,19,,,,,,,
,Tenafly,"13,943",86,86,               -,             -,2,3,17,59,5,           -,,,,,,,
,Tinton Falls,"15,968",258,259,               -,4,3,11,25,197,18,1,,,,,,,
,Totowa,"11,087",429,429,               -,             -,7,8,17,338,59,           -,,,,,,,
,Trenton,"87,206","6,369","6,434",14,74,628,658,"1,351","2,533","1,111",65,,,,,,,
,Union City,"58,841","2,420","2,424",2,10,173,136,547,987,565,4,,,,,,,
,Union Township,"52,638","2,239","2,242",1,18,113,73,305,"1,298",431,3,,,,,,,
,Ventnor City,"11,327",360,361,               -,2,4,11,91,248,4,1,,,,,,,
,Vernon Township,"23,886",436,438,               -,             -,2,13,73,338,10,2,,,,,,,
,Verona,"13,440",193,196,               -,             -,              -,5,40,128,20,3,,,,,,,
,Vineland,"57,202","3,067","3,088",               -,9,170,227,595,"1,878",188,21,,,,,,,
,Voorhees Township,"27,304",949,956,               -,5,22,34,92,751,45,7,,,,,,,
,Waldwick,"10,362",82,82,               -,             -,2,2,16,60,2,           -,,,,,,,
,Wallington,"11,490",233,233,               -,             -,5,9,25,166,28,           -,,,,,,,
,Wall Township,"26,737",447,448,               -,2,1,8,68,354,14,1,,,,,,,
,Wanaque,"10,973",127,128,               -,             -,              -,8,22,92,5,1,,,,,,,
,Warren Township,"13,073",140,141,               -,2,2,5,25,104,2,1,,,,,,,
,Washington Township (Gloucester County),"47,387","1,240","1,261",               -,15,23,43,210,857,92,21,,,,,,,
,Washington Township (Morris County),"18,341",144,144,               -,             -,              -,4,23,111,6,           -,,,,,,,
,Waterford Township,"11,327",194,194,               -,2,4,18,21,125,24,           -,,,,,,,
,Wayne Township,"56,263","1,858","1,865",               -,3,22,21,165,"1,339",308,7,,,,,,,
,Weehawken Township,"13,093",514,515,1,             -,7,3,79,301,123,1,,,,,,,
,West Caldwell Township,"10,609",246,248,               -,             -,              -,5,19,205,17,2,,,,,,,
,West Deptford Township,"20,698",572,576,2,3,16,14,77,420,40,4,,,,,,,
,Westfield,"30,239",380,381,1,2,3,7,73,281,13,1,,,,,,,
,West Milford Township,"29,026",309,317,               -,1,4,25,62,214,3,8,,,,,,,
,West New York,"40,718","1,360","1,363",1,5,59,97,259,704,235,3,,,,,,,
,West Orange,"41,133","1,397","1,402",1,1,65,31,240,725,334,5,,,,,,,
,West Paterson,"11,981",238,238,               -,3,6,9,46,151,23,           -,,,,,,,
,West Windsor Township,"20,205",584,584,               -,2,4,11,52,461,54,           -,,,,,,,
,Westwood,"11,726",166,167,               -,             -,1,8,23,130,4,1,,,,,,,
,Willingboro Township,"35,646","1,113","1,127",1,10,53,59,207,641,142,14,,,,,,,
,Winslow Township,"36,067",876,887,               -,3,36,117,172,494,54,11,,,,,,,
,Woodbridge Township,"98,460","3,545","3,578",1,8,76,256,530,"2,290",384,33,,,,,,,
,Woodbury,"10,858",545,546,1,             -,8,30,80,401,25,1,,,,,,,
,Wyckoff Township,"17,066",126,127,               -,1,              -,8,26,88,3,1,,,,,,,
NEW MEXICO,Alamogordo,"29,704","1,289","1,294",2,29,8,54,219,951,26,5,,,,,,,
,Albuquerque,"439,724","39,447","39,633",33,239,"1,547","3,317","7,120","22,842","4,349",186,,,,,,,
,Carlsbad,"27,458","1,728","1,738",3,11,20,100,333,"1,194",67,10,,,,,,,
,Clovis,"32,938","2,439","2,478",4,25,23,398,574,"1,346",69,39,,,,,,,
,Deming,"15,602",982,982,1,9,7,106,191,624,44,           -,,,,,,,
,Farmington,"42,447","2,088","2,103",1,38,40,305,366,"1,216",122,15,,,,,,,
,Gallup,"20,886","3,307",,               -,27,82,305,304,"2,467",122,,,,,,,,
,Hobbs,"28,122","1,530","1,536",2,16,13,243,262,957,37,6,,,,,,,
,Las Cruces,"79,236","6,765","6,775",7,56,93,304,"1,190","4,944",171,10,,,,,,,
,Las Vegas,"16,547","1,119","1,128",7,9,26,160,279,576,62,9,,,,,,,
,Los Alamos,"19,113",196,200,               -,3,              -,11,45,130,7,4,,,,,,,
,Lovington,"10,304",399,399,2,5,1,26,120,235,10,           -,, ,,,,,
,Portales,"10,892",560,560,               -,10,3,24,159,343,21,           -,,,,,,,
,Rio Rancho,"54,380","1,570","1,586",1,6,13,181,228,"1,046",95,16,, ,,,,,
,Roswell,"49,813","3,517","3,528",7,61,57,375,826,"2,072",119,11,,,,,,,
,Santa Fe,"72,454","4,915","4,938",6,43,96,259,"1,876","2,402",233,23,,,,,,,
,Sunland Park,"10,330",155,155,               -,10,1,40,40,50,14,           -,,,,,,,
NEW YORK,Albany,"98,022","7,092","7,142",15,66,396,637,"1,513","4,012",453,50,,,,,,,
,Amherst Town,"109,574","2,071","2,074",               -,4,26,44,169,"1,697",131,3,,,,,,,
,Amsterdam,"19,932",400,405,               -,1,5,50,82,257,5,5,,,,,,,
,Auburn,"30,303","1,130","1,132",               -,8,23,43,181,855,20,2,,,,,,,
,Bedford Town,"19,199",262,263,               -,2,3,17,40,186,14,1,,,,,,,
,Bethlehem Town,"29,843",690,,               -,4,6,21,126,522,11,,,,,,,,
,Binghamton,"48,674","2,364",,1,15,60,102,245,"1,877",64,,,,,,,,
,Brighton Town,"34,186","1,155","1,158",1,3,27,5,121,945,53,3,,,,,,,
,Buffalo,"308,288","20,248","20,600",39,176,"1,555","1,887","4,194","9,831","2,566",352,,,,,,,
,Camillus Town and Village,"24,600",298,,               -,             -,2,10,41,232,13,,,,,,,,
,Canandaigua,"11,220",245,246,1,3,7,4,29,195,6,1,,,,,,,
,Carmel Town,"33,496",324,325,               -,             -,2,7,59,244,12,1,,,,,,,
,Cicero Town,"24,689",481,,               -,             -,3,27,91,344,16,,,,,,,,
,Clarkstown Town,"84,240","2,323","2,326",2,3,33,95,195,"1,845",150,3,,,,,,,
,Clay Town,"57,141",386,391,               -,1,5,                   -,82,297,1,5,,,,,,,
,Cohoes,"16,777",441,444,               -,3,7,15,130,265,21,3,,,,,,,
,Colonie Town,"82,253","3,171","3,175",1,5,43,24,432,"2,591",75,4,,,,,,,
,Cortland,"19,175",753,756,               -,5,13,28,111,564,32,3,,,,,,,
,Depew Village,"17,234",469,472,               -,2,6,16,79,326,40,3,,,,,,,
,Dewitt Town,"22,890",954,955,               -,             -,11,18,116,770,39,1,,,,,,,
,Dobbs Ferry Village,"10,527",175,,               -,3,4,16,46,97,9,,,,,,,,
,Dunkirk,"13,389",539,545,1,5,14,38,87,384,10,6,,,,,,,
,East Aurora-Aurora Town,"13,717",193,193,               -,             -,2,2,24,152,13,           -,,,,,,,
,Eastchester Town,"19,876",464,464,               -,             -,2,11,26,374,51,           -,,,,,,,
,East Greenbush Town,"14,960",466,466,               -,             -,3,10,86,351,16,           -,,,,,,,
,East Hampton Town,"15,309",487,490,               -,4,3,15,157,297,11,3,,,,,,,
,Endicott Village,"12,392",635,639,               -,6,10,26,81,497,15,4,,,,,,,
,Fallsburg Town,"11,184",306,310,               -,             -,16,11,132,141,6,4,,,,,,,
,Fishkill Town,"16,779",349,349,               -,             -,2,7,36,288,16,           -,,,,,,,
,Floral Park Village,"16,449",110,,               -,             -,7,7,29,52,15,,,,,,,,
,Fredonia Village,"10,463",287,287,               -,2,1,6,29,243,6,           -,,,,,,,
,Garden City Village,"22,595",306,310,               -,             -,4,3,30,237,32,4,,,,,,,
,Gates Town,"30,167","1,187","1,192",1,4,24,7,108,973,70,5,,,,,,,
,Geddes Town,"11,553",176,176,               -,             -,              -,1,27,140,8,           -,,,,,,,
,Geneva,"14,199",384,386,1,1,11,24,47,292,8,2,,,,,,,
,Glens Falls,"15,022",600,605,               -,3,2,35,93,459,8,5,,,,,,,
,Glenville Town,"22,113",347,347,               -,             -,2,9,48,282,6,           -,,,,,,,
,Gloversville,"16,062",581,582,               -,8,2,52,87,408,24,1,,,,,,,
,Greece Town,"95,772","2,700","2,703",2,12,45,31,246,"2,160",204,3,,,,,,,
,Greenburgh Town,"44,682","1,341",,               -,7,27,45,163,984,115,,,,,,,,
,Guilderland Town,"28,807","1,192","1,195",               -,             -,10,10,70,"1,082",20,3,,,,,,,
,Haverstraw Town,"35,717",486,511,               -,3,10,79,69,292,33,25,,,,,,,
,Hempstead Village,"48,783","1,393","1,397",4,13,168,169,174,439,426,4,,,,,,,
,Highlands Town,"10,262",34,34,               -,             -,              -,2,3,29,             -,           -,,,,,,,
,Irondequoit Town,"53,334","2,566","2,570",1,4,51,20,278,"2,053",159,4,,,,,,,
,Jamestown,"33,610","1,296","1,318",               -,19,17,89,324,782,65,22,,,,,,,
,Kent Town,"15,826",175,178,               -,1,1,4,28,132,9,3,,,,,,,
,Kingston,"23,463",871,874,               -,7,20,21,77,683,63,3,,,,,,,
,Long Beach,"35,840",592,594,               -,             -,32,49,62,387,62,2,,,,,,,
,Mamaroneck Town,"12,266",220,220,               -,             -,3,3,35,138,41,           -,,,,,,,
,Manlius Town,"23,699",396,397,               -,2,4,20,70,289,11,1,,,,,,,
,Massena Village,"11,653",186,186,1,             -,1,1,29,146,8,           -,,,,,,,
,Middletown,"25,318",776,780,1,12,32,40,125,529,37,4,,,,,,,
,Mount Pleasant Town,"26,957",360,365,               -,             -,3,22,33,277,25,5,,,,,,,
,Mount Vernon,"69,765","2,313","2,341",6,15,167,188,455,"1,088",394,28,,,,,,,
,Newark Village,"10,017",499,501,               -,2,5,25,62,388,17,2,,,,,,,
,Newburgh,"27,274","1,730","1,736",1,9,166,262,343,857,92,6,,,,,,,
,New Castle Town,"18,431",148,148,               -,             -,1,14,7,112,14,           -,,,,,,,
,New Hartford Town and Village,"19,567",929,930,1,1,1,                   -,71,844,11,1,,,,,,,
,New Rochelle,"70,440","1,861","1,867",1,6,99,106,223,"1,258",168,6,,,,,,,
,New Windsor Town,"24,804",609,612,               -,3,9,42,112,431,12,3,,,,,,,
,New York,"7,746,511","288,368",,673,"1,630","32,562","40,880","37,112","139,664","35,847",,,,,,,,
,Niagara Falls,"58,325","3,186","3,221",2,27,150,307,707,"1,712",281,35,,,,,,,
,North Castle Town,"11,460",142,142,               -,             -,              -,6,12,118,6,           -,,,,,,,
,North Tonawanda,"33,833",680,685,               -,3,6,32,132,481,26,5,,,,,,,
,Ogdensburg,"14,452",548,,               -,3,              -,10,97,421,17,,,,,,,,
,Olean,"16,626",473,475,               -,7,4,3,54,400,5,2,,,,,,,
,Orangetown Town,"38,360",684,688,               -,3,7,36,113,498,27,4,,,,,,,
,Ossining Village,"23,698",516,518,1,2,11,90,71,295,46,2,,,,,,,
,Oswego City,"18,873",594,594,               -,2,4,1,97,458,32,           -,,,,,,,
,Port Washington,"17,931",227,227,               -,             -,9,8,26,165,19,           -,,,,,,,
,Poughkeepsie,"28,937","1,346","1,362",3,13,104,71,198,872,85,16,,,,,,,
,Poughkeepsie Town,"42,393","1,558","1,563",               -,7,19,85,95,"1,316",36,5,,,,,,,
,Ramapo Town,"68,834","1,030","1,037",               -,4,25,30,229,712,30,7,,,,,,,
,Riverhead Town,"26,204","1,908","1,910",1,2,27,91,258,"1,486",43,2,,,,,,,
,Rochester,"223,662","17,250","17,531",39,107,936,550,"2,777","10,409","2,432",281,,,,,,,
,Rockville Centre Village,"25,710",504,504,               -,2,17,61,90,288,46,           -,,,,,,,
