State,City,Population,Crime Index total,Modified Crime Index total1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,,,,,,,
,Hemet,"62,027","2,768","2,815",1,9,89,225,949,"1,139",356,47,,,,,,,
,Hercules,"20,741",471,473,               -,2,11,31,68,231,128,2,,,,,,,
,Hermosa Beach,"19,276",725,726,               -,6,13,38,131,479,58,1,,,,,,,
,Hesperia,"65,385","1,853","1,873",5,12,39,107,387,"1,051",252,20,,,,,,,
,Highland,"44,167","1,511","1,528",6,15,75,104,338,726,247,17,,,,,,,
,Hillsborough,"11,722",63,63,               -,             -,1,2,20,38,2,           -,,,,,,,
,Hollister,"32,062","1,008","1,008",2,4,19,271,163,494,55,           -,,,,,,,
,Huntington Beach,"203,994","4,526","4,561",               -,31,93,254,959,"2,698",491,35,,,,,,,
,Huntington Park,"60,293","3,009","3,031",2,19,425,168,375,943,"1,077",22,,,,,,,
,Imperial Beach,"29,514",876,885,1,3,41,111,133,425,162,9,,,,,,,
,Indio,"47,793","2,234","2,234",8,21,77,243,565,830,490,           -,,,,,,,
,Inglewood,"116,097","4,668","4,706",23,52,575,726,803,"1,576",913,38,,,,,,,
,Irvine,"145,873","3,208","3,231",1,20,53,147,773,"1,925",289,23,,,,,,,
,La Canada/Flintridge,"20,328",320,323,               -,             -,16,18,107,166,13,3,,,,,,,
,Lafayette,"25,310",509,509,               -,3,6,12,103,350,35,           -,,,,,,,
,Laguna Beach,"26,129",681,688,               -,6,6,49,136,443,41,7,,,,,,,
,Laguna Hills,"36,450",827,834,1,7,16,41,140,555,67,7,,,,,,,
,Laguna Niguel,"55,778",886,891,1,7,12,55,227,529,55,5,,,,,,,
,La Habra,"56,146","1,475","1,498",1,6,47,83,227,920,191,23,,,,,,,
,Lake Elsinore,"29,576","1,360","1,365",1,9,41,223,319,563,204,5,,,,,,,
,Lake Forest,"59,103","1,196","1,201",2,9,35,84,194,765,107,5,,,,,,,
,Lakewood,"78,768","2,801","2,810",4,11,148,203,392,"1,546",497,9,,,,,,,
,La Mesa,"57,391","2,086","2,095",2,15,97,104,397,"1,141",330,9,,,,,,,
,La Mirada,"46,678","1,027","1,031",1,12,40,105,213,518,138,4,,,,,,,
,Lancaster,"126,679","4,323","4,386",5,63,230,878,"1,049","1,674",424,63,,,,,,,
,La Palma,"16,905",326,327,               -,2,22,21,58,189,34,1,,,,,,,
,La Puente,"39,967","1,127","1,137",10,10,63,225,199,433,187,10,,,,,,,
,La Quinta,"22,403","1,034","1,038",3,7,14,80,303,536,91,4,,,,,,,
,La Verne,"33,572",741,749,               -,6,18,70,123,464,60,8,,,,,,,
,Lawndale,"30,125",998,"1,002",2,10,118,185,213,318,152,4,,,,,,,
,Lemon Grove,"26,696",830,837,               -,10,56,95,193,332,144,7,,,,,,,
,Lemoore,"19,111",378,380,               -,5,12,27,131,175,28,2,,,,,,,
,Lincoln,"10,277",370,372,1,4,1,31,83,218,32,2,,,,,,,
,Livermore,"77,170","1,738","1,751",               -,12,35,85,351,"1,091",164,13,,,,,,,
,Livingston,"10,465",328,329,               -,4,5,55,86,153,25,1,,,,,,,
,Lodi,"58,244","2,836","2,852",               -,19,52,378,367,"1,770",250,16,,,,,,,
,Loma Linda,"23,044",690,692,3,8,13,26,182,341,117,2,,,,,,,
,Lomita,"20,492",550,555,               -,1,29,86,126,244,64,5,,,,,,,
,Lompoc,"42,200","1,374","1,409",2,13,31,97,249,931,51,35,,,,,,,
,Long Beach,"444,563","17,667","17,929",49,114,"1,519","1,534","3,160","7,714","3,577",262,,,,,,,
,Los Alamitos,"13,106",294,296,               -,2,15,14,71,156,36,2,,,,,,,
,Los Altos,"28,353",329,337,               -,             -,6,17,104,189,13,8,,,,,,,
,Los Angeles,"3,713,238","180,538","182,883",550,"1,459","15,527","32,705","24,422","76,235","29,640","2,345",,,,,,,
,Los Banos,"22,108",636,636,               -,9,12,64,120,374,57,           -,,,,,,,
,Los Gatos,"29,676",685,699,               -,1,9,45,146,456,28,14,,,,,,,
,Lynwood,"65,336","2,682","2,728",12,28,276,607,479,631,649,46,,,,,,,
,Madera,"38,203","2,444","2,450",5,21,122,459,438,"1,040",359,6,,,,,,,
,Malibu,"13,232",339,340,               -,3,8,27,87,189,25,1,,,,,,,
,Manhattan Beach,"35,646","1,205","1,206",               -,4,36,30,295,749,91,1,,,,,,,
,Manteca,"50,733","1,949","1,970",2,16,42,144,359,"1,138",248,21,,,,,,,
,Marina,"17,854",471,475,               -,9,14,54,132,236,26,4,,,,,,,
,Martinez,"37,282","1,031","1,033",               -,3,16,30,162,680,140,2,,,,,,,
,Marysville,"11,893",811,811,               -,8,25,51,135,469,123,           -,,,,,,,
,Maywood,"29,315",626,633,7,2,62,53,74,291,137,7,,,,,,,
