State,City,Population,Crime Index total,Modified Crime Index total1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Burglary,Larceny-theft,Motor vehicle theft,Arson,
,Monterey Park,"63,447","1,399","1,402",4,6,132,61, ,293,577,326,3,
,Moorpark,"30,430",399,405,1,2,13,37, ,121,185,40,6,
,Moraga,"18,634",198,199,-,-,-,7, ,38,142,11,1,
,Moreno Valley,"146,732","5,101","5,112",6,72,201,669, ,"1,527","2,047",579,11,
,Morgan Hill,"31,180","1,042","1,050",-,9,20,26, ,131,775,81,8,
,Morro Bay,"10,201",316,317,-,1,1,60, ,37,199,18,1, 
,Mountain View,"73,250","2,370","2,381",-,9,49,319, ,202,"1,659",132,11,
,Murrieta,"24,450",621,622,-,7,20,51, ,127,330,86,1,
,Napa,"67,523","1,964","1,993",2,13,30,176, ,307,"1,329",107,29,
,National City,"55,800","3,008","3,020",5,30,180,340, ,408,"1,364",681,12,
,Newark,"43,766","1,778","1,789",-,14,44,80, ,183,"1,284",173,11,
,Newport Beach,"73,477","2,139","2,146",-,5,31,89, ,460,"1,417",137,7,
,Norco,"26,841",768,769,2,1,12,59, ,194,397,103,1,
,Norwalk,"98,947","3,248","3,275",10,27,217,465, ,529,"1,236",764,27,
,Novato,"49,380","1,225","1,238",-,10,21,123, ,252,760,59,13,
,Oakdale,"15,166",967,974,1,19,14,117, ,253,514,49,7,
,Oakland,"371,234","31,073","31,402",60,305,"2,190","3,199", ,"5,094","15,437","4,788",329,
,Oceanside,"154,599","5,229","5,262",7,94,185,656, ,"1,060","2,733",494,33,
,Ontario,"149,344","7,712","7,821",9,44,285,668, ,"1,172","4,204","1,330",109,
,Orange,"125,634","3,628","3,677",1,14,101,359, ,517,"2,156",480,49,
,Orinda,"19,622",260,260,1,1,6,6, ,52,185,9,-,
,Oroville,"12,283",947,947,-,-,30,11, ,235,561,110,-,
,Oxnard,"156,887","5,907","5,921",4,37,357,452, ,"1,029","3,461",567,14,
,Pacifica,"41,273",647,652,-,6,9,120, ,101,369,42,5,
,Pacific Grove,"16,092",323,323,-,-,2,45, ,89,170,17,-,
,Palmdale,"101,624","3,867","3,906",6,40,192,716, ,873,"1,565",475,39,
,Palm Desert,"29,844","1,920","1,921",-,10,17,123, ,667,964,139,1,
,Palm Springs,"44,586","3,048","3,071",7,29,71,512, ,724,"1,404",301,23,
,Palo Alto,"59,964","2,083","2,094",-,6,39,49, ,233,"1,660",96,11,
,Palos Verdes Estates,"14,056",134,135,-,1,1,9, ,37,75,11,1,
,Paradise,"26,159",878,883,1,8,7,85, ,214,532,31,5,
,Paramount,"51,880","2,525","2,554",11,19,142,264, ,497,"1,074",518,29,
,Parlier,"10,410",465,483,1,1,18,87, ,64,227,67,18,
,Pasadena,"136,559","4,985","5,090",2,30,350,444, ,795,"2,913",451,105,
,Paso Robles,"20,959",701,705,1,6,10,73, ,117,450,44,4,
,Patterson,"10,016",361,363,3,-,7,79, ,42,200,30,2,
,Perris,"33,110","1,703","1,711",2,27,86,216, ,559,573,240,8,
,Petaluma,"51,659","1,561","1,577",-,12,19,94, ,207,"1,161",68,16,
,Pico Rivera,"61,572","1,638","1,660",9,14,100,314, ,246,626,329,22,
,Piedmont,"11,174",179,180,1,-,6,2, ,45,97,28,1,
,Pinole,"19,622","1,163","1,197",-,9,68,52, ,163,744,127,34,
,Pittsburg,"53,569","2,311","2,313",2,13,107,149, ,357,"1,313",370,2,
,Placentia,"47,844",932,942,2,2,23,108, ,200,493,104,10,
,Pleasant Hill,"33,799","1,249","1,257",-,7,33,65, ,216,836,92,8,
,Pleasanton,"64,977","1,595","1,599",-,6,14,24, ,155,"1,295",101,4,
,Pomona,"137,646","6,610","6,638",26,48,381,991, ,"1,169","2,837","1,158",28,
,Porterville,"36,124","1,703","1,705",4,12,25,136, ,330,977,219,2,
,Port Hueneme,"20,961",578,579,-,9,32,29, ,137,336,35,1,
,Poway,"49,829",923,933,1,7,16,79, ,206,534,80,10,
,Rancho Cucamonga,"121,806","3,824","3,858",7,27,92,142, ,825,"2,311",420,34,
,Rancho Mirage,"11,525",443,444,1,4,3,24, ,161,234,16,1,
,Rancho Palos Verdes,"43,280",433,436,1,1,11,45, ,124,201,50,3,
,Red Bluff,"13,392",803,813,-,8,10,161, ,153,445,26,10,
,Redding,"79,086","3,382","3,430",3,60,76,230, ,750,"1,964",299,48,
,Redlands,"68,295","2,350","2,373",1,16,52,261, ,345,"1,243",432,23,
,Redondo Beach,"63,999","2,038","2,042",1,13,70,82, ,314,"1,299",259,4,
,Redwood City,"74,514","2,404","2,418",4,12,56,181, ,258,"1,740",153,14,
,Reedley,"19,144",823,836,-,3,21,124, ,159,459,57,13,
,Rialto,"85,163","3,410","3,433",5,31,221,331, ,705,"1,544",573,23,
,Richmond,"94,839","7,119","7,185",31,47,411,736, ,"1,240","3,704",950,66,
,Ridgecrest,"30,470",647,654,1,16,12,107, ,113,357,41,7,
,Riverbank,"14,620",565,569,-,6,6,41, ,125,337,50,4,
,Riverside,"265,980","11,665","11,884",30,77,628,"1,329", ,"2,250","5,733","1,618",219,
,Rocklin,"31,334",649,649,-,5,5,24, ,149,412,54,-, 
,Rohnert Park,"41,596","1,610","1,621",1,15,21,53, ,396,"1,044",80,11,
,Rosemead,"53,965","1,511","1,518",8,6,135,226, ,347,496,293,7,
,Roseville,"72,658","2,696","2,708",-,6,44,209, ,513,"1,601",323,12,
,Sacramento,"410,089","27,110","27,540",54,143,"1,450","1,437", ,"4,805","14,761","4,460",430,
,Salinas,"123,237","6,298","6,329",12,60,346,737, ,729,"3,764",650,31,
,San Anselmo,"11,694",319,320,-,2,1,33, ,87,186,10,1,
,San Bernardino,"189,133","11,909","12,024",23,81,709,"1,207", ,"2,570","5,524","1,795",115, 
,San Bruno,"41,306","1,018","1,024",1,6,27,28, ,131,714,111,6,
,San Carlos,"28,501",582,582,-,2,8,52, ,149,338,33,-,
,San Clemente,"47,176",822,828,-,7,17,52, ,179,510,57,6,
,San Diego           ,"1,238,549","49,587","49,817",57,355,"1,812","5,187", ,"6,568","26,117","9,491",230,
,San Dimas,"34,722",733,743,-,4,24,101, ,162,385,57,10,
,San Fernando,"23,386",807,815,1,3,69,47, ,103,431,153,8,
,San Francisco,"756,700","43,322","43,597",64,193,"3,475","2,823", ,"5,526","25,264","5,977",275,
,San Gabriel,"38,520",922,935,1,4,81,116, ,185,416,119,13,
,Sanger,"18,401",762,769,-,7,20,117, ,97,417,104,7,
,San Jacinto,"24,686",488,491,1,6,14,98, ,212,76,81,3,
,San Jose,"875,840","25,784","26,133",25,347,726,"3,990", ,"2,685","15,151","2,860",349,
,San Juan Capistrano,"31,452",569,573,4,5,18,49, ,86,357,50,4,
,San Leandro,"75,477","4,294","4,313",3,17,201,290, ,502,"2,649",632,19,
