State,City,Population,Crime Index total,Modified Crime Index total1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Burglary,Larceny-theft,Motor vehicle theft,Arson,
,Thomasville,"17,784","1,522","1,526",2,6,32,48, ,328,"1,028",78,4,
,Tifton,"14,132","1,571","1,574",1,5,35,98, ,216,"1,159",57,3,
,Union City,"10,481",745,745,-,5,50,100, ,69,368,153,-,
,Vidalia,"11,950",796,801,2,6,18,56, ,113,558,43,5,
,Waycross,"15,762","1,759",,1,14,39,63, ,220,"1,360",62,,
HAWAII,Honolulu,"866,566","42,678","42,941",37,235,907,"1,019", ,"6,087","30,396","3,997",263,
IDAHO,Blackfoot,"10,649",459,461,-,3,-,30, ,57,350,19,2,
,Boise,"160,702","7,649","7,697",2,74,67,351, ,"1,279","5,548",328,48,
,Caldwell,"22,758","1,381","1,390",1,18,6,95, ,176,"1,008",77,9,
,Coeur d'Alene,"33,175","2,222","2,240",1,26,34,171, ,343,"1,550",97,18,
,Idaho Falls,"49,023","2,406","2,416",2,23,5,153, ,340,"1,774",109,10,
,Lewiston,"30,932","1,312","1,316",-,5,5,26, ,260,958,58,4,
,Meridian,"25,852",923,929,-,8,3,31, ,151,686,44,6,
,Moscow,"19,674",578,579,-,5,5,14, ,67,473,14,1,
,Mountain Home,"10,393",502,505,-,2,1,41, ,82,359,17,3,
,Nampa,"42,737","2,567","2,579",2,20,10,94, ,389,"1,943",109,12,
,Pocatello,"54,068","1,684","1,695",-,11,14,105, ,243,"1,262",49,11,
,Post Falls,"16,027",557,560,-,8,5,38, ,105,378,23,3,
,Rexburg,"14,571",294,294,-,4,-,5, ,14,260,11,-,
,Twin Falls,"33,920","2,152","2,184",2,14,15,122, ,497,"1,409",93,32,
ILLINOIS,Aurora,"125,596",,,9,,179,590, ,"1,006","3,492",416,29,
,Chicago              ,"2,821,032",,,642, ,"20,461","32,803", ,"30,319","111,632","31,524","1,323",
,Naperville,"124,300",,,4,,13,43, ,358,"1,726",124,15,
,Peoria,"111,914",,,12,,388,572, ,"2,247","6,062",985,76,
,Rockford,"144,646",,,17,,473,792, ,"2,961","7,894",894,35,
,Springfield,"117,905",,,10, ,242,835, ,"1,793","4,954",373,45,
INDIANA,Bedford,"14,727",583,586,-,1,-,5, ,78,484,15,3,
,Beech Grove,"13,344",462,468,1,4,7,4, ,117,299,30,6,
,Bloomington,"65,547","2,669","2,678",6,29,28,91, ,429,"1,943",143,9,
,Carmel,"42,386",833,841,-,4,2,6, ,103,681,37,8,
,Chesterton,"10,238",348,348,-,-,2,16, ,43,268,19,-,
,Clarksville,"19,834","2,002","2,004",-,6,26,11, ,142,"1,672",145,2,
,Columbus,"32,489","1,907","1,919",-,2,12,36, ,286,"1,506",65,12,
,Crawfordsville,"14,213",853,855,-,2,4,43, ,169,594,41,2,
,Crown Point,"19,547",364,364,-,1,2,16, ,41,264,40,-,
,Dyer,"13,585",315,317,-,-,3,8, ,41,230,33,2,
,Elkhart,"43,997","4,668","4,700",3,26,161,68, ,913,"3,072",425,32,
,Evansville,"123,689","6,214","6,298",5,49,102,316, ,"1,243","4,068",431,84,
,Fishers,"25,781",588,588,-,2,1,12, ,47,503,23,-,
,Fort Wayne,"187,092","12,388","12,450",20,99,538,266, ,"1,665","8,476","1,324",62,
,Franklin,"17,387",712,712,2,4,7,1, ,109,559,30,-,
,Gary,"109,273","6,603",,75,30,484,341, ,"2,111","2,201","1,361",,
,Goshen,"25,449","1,561","1,565",-,3,12,241, ,151,"1,102",52,4,
,Greenfield,"13,972",221,221,-,1,1,5, ,27,175,12,-,
,Greenwood,"33,667","1,389","1,392",-,2,8,44, ,117,"1,128",90,3,
,Griffith,"17,948",723,725,-,5,13,21, ,72,528,84,2,
,Hammond,"78,791","6,170","6,248",13,22,280,592, ,912,"3,455",896,78,
,Highland,"23,906","1,003","1,004",-,1,12,80, ,73,711,126,1,
,Huntington,"15,584",479,482,-,5,2,49, ,47,359,17,3,
,Indianapolis,"759,066","40,398","40,757",113,424,"2,598","4,579", ,"9,971","17,279","5,434",359,
,Jasper,"11,257",289,289,-,-,-,8, ,33,235,13,-,
,Kokomo,"45,484","2,679","2,706",1,9,41,141, ,444,"1,949",94,27,
,La Porte,"20,376","1,157","1,158",-,3,16,10, ,126,927,75,1,
,Lawrence,"34,817",919,934,1,4,30,8, ,211,559,106,15,
,Logansport,"15,948",930,932,-,6,3,41,,134,713,33,2, 
,Madison,"12,603",423,423,-,3,4,26, ,114,243,33,-,
,Martinsville,"12,186",775,780,-,5,-,23, ,65,638,44,5,
,Merrillville,"30,797","1,272","1,273",-,3,41,16, ,82,962,168,1,
,Michigan City,"32,868","2,144","2,144",1,15,58,85, ,332,"1,358",295,-,
,Mishawaka,"45,646","4,120","4,148",2,13,86,115, ,398,"3,278",228,28,
,Munster,"20,637",604,606,-,5,16,42, ,41,448,52,2,
,New Albany,"38,548","2,443","2,515",-,17,48,113, ,420,"1,667",178,72,
,New Castle,"17,057","1,378","1,380",-,8,3,12, ,253,"1,030",72,2,
,New Haven,"13,911",464,464,-,4,13,9, ,62,345,31,-,
,Noblesville,"26,176",687,688,-,3,5,-, ,79,582,18,1,
,Plainfield,"17,870",670,672,-,2,4,11, ,88,532,33,2,
,Plymouth,"10,215",316,318,-,2,-,2, ,42,248,22,2,
,Portage,"33,275","1,253","1,259",1,12,13,34, ,163,919,111,6,
,Richmond,"37,366","2,499","2,538",3,21,40,84, ,431,"1,699",221,39,
,Schererville,"24,240",625,629,-,-,4,4, ,42,518,57,4,
,Seymour,"17,152","1,123","1,125",-,7,4,104, ,118,840,50,2,
,South Bend,"100,154","8,820","8,887",17,76,357,334, ,"2,258","5,060",718,67,
,Speedway,"12,303",987,987,-,3,29,12, ,70,786,87,-,
,Terre Haute,"53,750","4,814","4,846",1,26,73,50, ,"1,099","3,189",376,32,
,Valparaiso,"26,123",841,844,-,1,5,21, ,102,674,38,3,
,Vincennes,"19,015","1,101","1,108",-,3,22,13, ,246,771,46,7,
,Wabash,"11,221",191,195,1,-,-,1, ,20,160,9,4,
,Warsaw,"10,877",633,636,-,4,5,13, ,67,513,31,3,
,Westfield,"10,062",236,237,1,1,5,27, ,6,177,19,1,
IOWA,Ankeny,"25,147",632,636,-,3,4,13, ,75,502,35,4,
,Bettendorf,"31,814",936,953,-,4,10,82, ,118,673,49,17,
,Boone,"12,785",301,307,-,-,1,-, ,54,235,11,6,
,Burlington,"26,920","1,392","1,395",1,16,27,142, ,276,873,57,3,
,Carroll,"10,356",272,273,-,2,-,-, ,25,233,12,1,
,Cedar Falls,"34,805","1,088","1,095",-,4,4,91, ,112,819,58,7,
,Cedar Rapids,"114,842","7,024","7,045",4,47,101,227, ,"1,084","5,237",324,21,
,Clive,"11,152",343,349,-,1,4,18, ,37,275,8,6,
,Coralville,"12,719",628,630,-,3,9,7, ,56,542,11,2,
,Council Bluffs,"56,449","5,162","5,218",3,82,69,368, ,807,"3,266",567,56,
,Davenport,"97,078","7,589","7,644",2,54,185,"1,145", ,"1,439","4,326",438,55,
,Des Moines,"191,345","11,679","11,761",13,92,266,374, ,"1,609","8,492",833,82,
,Dubuque,"56,604","1,927","1,959",-,27,14,89, ,333,"1,402",62,32,
,Fairfield,"10,347",440,442,-,4,1,15, ,95,300,25,2,
,Fort Dodge,"24,798","1,822","1,833",-,8,24,99, ,323,"1,268",100,11,
,Fort Madison,"11,360",357,360,-,-,1,1, ,71,274,10,3,
,Indianola,"13,055",275,280,-,-,-,7, ,49,208,11,5,
,Iowa City,"61,045","2,031","2,048",3,37,24,332, ,344,"1,214",77,17,
,Keokuk,"12,209",761,765,2,2,6,129, ,94,506,22,4,
,Marion,"23,835",526,533,-,2,2,-, ,103,415,4,7,
,Marshalltown,"25,262","1,356","1,367",1,8,6,197, ,208,892,44,11,
,Mason City,"28,788","2,261","2,264",-,8,9,108, ,326,"1,751",59,3,
,Muscatine,"22,988",976,986,-,25,4,125, ,289,502,31,10,
,Oskaloosa,"10,699",378,381,-,2,2,5, ,92,269,8,3,
,Ottumwa,"23,912","1,178","1,185",-,10,8,106, ,189,822,43,7,
,Sioux City,"82,898","6,407","6,436",1,123,61,522, ,"1,090","4,221",389,29,
,Spencer,"11,197",247,249,-,1,-,2, ,23,214,7,2,
,Urbandale,"27,975",686,698,1,-,9,5, ,110,536,25,12,
,Waterloo,"63,858","4,080","4,126",-,35,101,176, ,965,"2,563",240,46,
,West Des Moines,"42,436","1,561","1,566",2,4,9,48, ,253,"1,187",58,5,
KANSAS,Topeka,"120,108","13,350",,15,101,377,615, ,"2,436","9,107",699,,
,Wichita,"332,286","20,977",,27,169,700,"1,031", ,"3,990","13,388","1,672",,
KENTUCKY,Ashland,"22,540","1,149","1,151",-,10,23,69, ,230,778,39,2,
,Bowling Green,"45,099","2,898",,3,28,66,266, ,580,"1,790",165,,
,Florence,"19,622","1,430",,-,5,20,38, ,150,"1,166",51,,
,Lexington,"243,243","14,842","14,909",24,143,530,"1,216", ,"2,483","9,522",924,67,
,Louisville,"256,795","15,317","15,624",37,62,"1,158",959, ,"3,418","7,683","2,000",307,
,Madisonville,"19,152","1,356","1,357",1,2,12,307, ,173,801,60,1,
,Owensboro,"54,375","2,566",,3,16,42,57, ,497,"1,854",97,,
,Paducah,"26,043","1,962","1,964",4,11,41,130, ,279,"1,372",125,2,
LOUISIANA,Abbeville,"11,410",659,659,3,-,15,67, ,121,447,6,-,
,Alexandria,"45,832","4,973","4,973",7,24,148,311,,"1,127","3,223",133,-,
,Baton Rouge,"211,700","21,323","21,668",53,79,"1,003","1,098", ,"4,474","12,282","2,334",345,
,Bogalusa,"13,453","1,273","1,276",2,14,31,131, ,277,768,50,3,
,Bossier City,"56,677","4,202","4,213",2,29,78,385, ,742,"2,684",282,11,
,Crowley,"13,564",821,821,-,-,-,53, ,131,633,4,-, 
,De Ridder,"10,888",210,211,-,2,1,23, ,37,141,6,1,
,Eunice,"11,120","1,427","1,433",-,2,13,327, ,178,872,35,6,
,Gretna,"16,581","1,230","1,235",-,14,57,137, ,211,653,158,5,
,Houma,"29,985","2,762","2,779",-,27,80,351, ,398,"1,721",185,17,
,Jennings,"11,322",718,721,-,3,11,119, ,86,477,22,3,
,Kenner,"71,691","4,305","4,305",6,23,107,267, ,517,"2,850",535,-,
,Lafayette,"113,695","8,617","8,639",7,51,206,552, ,"1,524","5,648",629,22,
,Lake Charles,"70,816","5,119","5,143",3,32,136,401, ,"1,095","3,055",397,24,
,Minden,"13,318",335,336,-,2,5,34, ,55,221,18,1,
,Monroe,"53,650","7,162","7,164",6,46,138,812, ,"1,221","4,509",430,2,
,Morgan City,"13,681",833,833,1,8,18,60, ,123,586,37,-,
,Natchitoches,"16,725","1,142","1,143",2,10,32,122, ,218,700,58,1,
,New Iberia,"32,687",830,830,2,7,24,53, ,204,460,80,-,
,New Orleans,"465,828","35,761","35,982",158,280,"2,733","2,760", ,"5,626","17,086","7,118",221,
,Opelousas,"18,997","1,070","1,071",3,10,22,91, ,290,588,66,1,
,Pineville,"14,040",794,794,2,6,2,19, ,225,517,23,-,
,Ruston,"19,629","1,339",,3,1,27,87, ,276,909,36,,
,Shreveport,"188,451","18,296","18,493",31,115,508,"1,314", ,"3,719","11,567","1,042",197,
,Slidell,"26,141","2,444","2,444",2,12,38,153, ,271,"1,790",178,-,
,Sulphur,"21,080","1,175","1,180",-,4,10,75, ,208,830,48,5,
,Thibodaux,"14,185","1,017","1,020",2,4,24,204, ,229,538,16,3,
,West Monroe,"13,911","1,382","1,382",1,1,16,81, ,125,"1,071",87,-,
,Westwego,"11,012",628,636,-,4,20,50, ,126,378,50,8,
,Zachary,"10,360",568,568,-,2,7,58, ,90,375,36,-,
MARYLAND,Aberdeen,"13,373",758,767,3,3,32,31, ,111,544,34,9,
,Annapolis,"33,826","2,639","2,668",3,14,163,308, ,405,"1,571",175,29,
,Cambridge,"10,811",792,793,3,5,25,115, ,164,458,22,1,
,Cumberland,"21,675","1,389","1,400",-,6,14,151, ,221,963,34,11,
,Easton,"10,790",774,778,1,5,22,47, ,147,534,18,4,
,Elkton,"10,948",856,859,-,7,12,70, ,134,595,38,3,
,Frederick,"47,808","2,543","2,559",-,23,115,381, ,373,"1,545",106,16,
,Greenbelt,"22,234","1,579","1,579",1,9,63,55, ,183,"1,001",267,-,
,Hagerstown,"34,350","1,751","1,803",1,5,86,121, ,322,"1,067",149,52,
,Havre de Grace,"10,557",571,571,-,2,20,56, ,102,358,33,-,
,Hyattsville,"14,918",740,740,-,-,57,31, ,90,465,97,-,
,Laurel,"18,960","1,122","1,122",2,6,45,35, ,186,730,118,-,
,Salisbury,"21,034","2,275","2,284",-,19,127,255, ,390,"1,359",125,9,
,Takoma Park,"18,369",879,879,1,9,50,37, ,158,477,147,-,
,Westminster,"15,889",979,989,-,1,24,35, ,139,738,42,10,
MASSACHUSETTS,Abington,"14,944",335,337,-,6,6,106, ,60,117,40,2,
,Acushnet,"10,157",269,273,-,-,4,108, ,51,95,11,4,
,Agawam,"26,860",814,819,1,2,10,246, ,154,325,76,5,
,Amesbury,"16,149",283,286,1,-,1,13, ,53,198,17,3,
,Amherst,"35,413",377,,-,6,6,22, ,75,225,43,,
,Andover,"31,567",523,524,-,4,2,10, ,94,372,41,1,
,Arlington,"43,629",429,,-,-,10,25, ,80,276,38,,
,Ashland,"13,543",105,108,-,2,-,25, ,20,56,2,3,
,Attleboro,"39,737","1,289",,1,12,29,87, ,212,814,134,,
,Auburn,"15,651",672,672,1,3,6,17, ,84,517,44,-,
,Barnstable,"45,393","1,923",,-,20,16,501, ,226,"1,028",132,,
,Bedford,"14,011",110,110,-,-,-,1, ,23,79,7,-,
,Belchertown,"12,000",113,113,-,-,-,-, ,30,77,6,-,
,Bellingham,"15,936",305,307,-,1,2,9, ,86,198,9,2,
,Belmont,"24,016",186,186,-,-,-,6, ,24,139,17,-,
,Beverly,"39,215",706,,-,-,11,14, ,275,340,66,,
,Boston,"557,812","35,078",,31,337,"2,467","4,428", ,"3,414","17,637","6,764", ,
,Bourne,"18,089",818,820,-,2,8,253, ,147,377,31,2,
,Bridgewater,"24,648",424,424,-,5,1,7, ,55,331,25,-,
,Brockton,"93,598","5,223",,9,28,207,738, ,791,"2,452",998,,
,Burlington,"23,802",856,,-,1,6,6, ,56,720,67, ,
,Cambridge,"93,778","4,362",,2,23,165,354, ,567,"2,820",431,,
,Carver,"11,700",163,164,-,-,1,16, ,38,91,17,1,
,Charlton,"10,392",87,87,-,2,-,25, ,30,28,2,-,
,Chelmsford,"33,930",527,,-,4,2,16,,90,391,24,,
,Chelsea,"27,551","1,703","1,713",-,18,92,335, ,257,585,416,10,
,Chicopee,"54,296","3,174","3,185",3,29,52,"1,108", ,883,838,261,11,
,Clinton,"13,113",339,339,-,1,2,34, ,44,244,14,-,
,Concord,"17,948",220,222,-,-,-,15, ,15,186,4,2,
,Danvers,"25,303",696,696,-,-,1,16, ,63,549,67,-,
,Dartmouth,"28,633","1,370","1,375",-,5,14,235, ,308,689,119,5,
,Dedham,"23,829",548,548,-,1,9,5, ,31,430,72,-,
,Dennis,"14,760",531,534,-,3,3,65, ,119,320,21,3,
,Dracut,"28,264",577,577,-,12,8,36, ,109,340,72,-,
,Duxbury,"15,423",81,81,-,2,-,8, ,25,43,3,-,
,East Bridgewater,"12,641",177,177,-,1,-,6, ,20,129,21,-,
,East Longmeadow,"14,024",402,404,-,-,-,42, ,27,315,18,2,
,Easton,"21,408",288,289,-,1,2,8, ,60,196,21,1,
,Everett,"35,081","1,025","1,025",1,7,49,162, ,302,336,168,-,
,Fairhaven,"16,010",532,538,-,1,5,76, ,192,234,24,6,
,Fall River,"91,067","4,027",,5,23,137,412, ,734,"2,221",495,,
,Falmouth,"31,574","1,051","1,053",-,7,4,83, ,289,606,62,2,
,Fitchburg,"40,193","2,314",,-,19,63,403, ,473,"1,209",147,,
,Foxborough,"16,463",273,273,-,1,1,71, ,23,165,12,-,
,Framingham,"64,941","1,512",,-,16,23,102, ,470,774,127, ,
,Gloucester,"29,792",539,,-,4,1,67, ,154,278,35,,
,Greenfield,"18,350",886,893,1,7,10,263, ,181,373,51,7,
,Hanover,"13,339",244,244,-,-,2,3, ,26,208,5,-,
,Harvard,"12,456",40,40,-,-,1,1, ,7,31,-,-,
,Harwich,"11,819",291,291,-,2,1,28, ,61,191,8,-,
,Hingham,"20,532",348,348,-,-,-,40, ,69,222,17,-,
,Holden,"15,251",118,122,-,-,3,33, ,21,54,7,4,
,Holliston,"13,638",51,51,-,-,-,2, ,8,39,2,-,
,Holyoke,"41,151","2,810",,8,29,102,268, ,418,"1,743",242, ,
,Hudson,"17,884",256,258,-,1,1,18, ,34,185,17,2,
,Hull,"10,576",151,151,-,3,-,86, ,25,34,3,-,
,Ipswich,"12,714",228,228,-,2,-,4, ,22,184,16,-,
,Kingston,"11,033",396,398,-,1,8,11, ,27,327,22,2,
,Lawrence,"69,737",,,3,53,188,,,836,"1,107","1,906",,
,Leicester,"10,490",152,152,2,-,-,4, ,7,123,16,-,
,Leominster,"40,391","1,573","1,574",-,3,16,53, ,183,"1,201",117,1,
,Lexington,"29,729",324,330,-,-,2,22, ,40,255,5,6, 
,Longmeadow,"14,777",219,219,-,-,1,1, ,14,198,5,-,
,Lowell,"101,534","3,307",,3,33,92,661, ,631,"1,164",723,,
,Ludlow,"19,043",390,390,-,2,6,48, ,44,268,22,-,
,Lynn,"81,445","4,455",,7,22,130,808, ,588,"1,771","1,129",,
,Lynnfield,"11,411",199,199,-,-,1,27, ,51,116,4,-, 
,Malden,"52,884","1,741","1,741",3,14,45,415,,258,758,248,-,
,Mansfield,"19,332",529,535,-,4,3,211, ,59,227,25,6,
,Marblehead,"20,195",331,337,-,2,-,17,,25,279,8,6,
,Marlborough,"33,430",669,669,-,-,2,85, ,92,426,64,-,
,Marshfield,"23,645",380,382,-,1,3,40, ,44,274,18,2,
,Maynard,"10,510",141,141,-,3,1,14, ,15,102,6,-,
,Medfield,"11,779",65,66,-,1,-,4, ,17,37,6,1,
,Medford,"56,236","1,463",,-,6,18,177, ,176,841,245,,
,Medway,"11,792",144,,-,1,-,26, ,21,90,6,,
,Melrose,"27,501",352,352,1,-,6,3, ,87,231,24,-,
,Methuen,"42,180","1,397","1,397",1,4,25,50, ,249,803,265,-,
,Middleboro,"19,792",566,575,-,6,6,32, ,114,355,53,9,
,Milford,"25,703",308,308,-,4,5,39, ,55,155,50,-,
,Millbury,"12,438",190,190,2,-,4,77, ,31,66,10,-,
,Milton,"25,779",211,211,-,-,13,-, ,31,155,12,-,
,Natick,"31,635",684,,-,4,8,22, ,79,523,48,,
,Needham,"28,051",294,294,-,2,3,6, ,51,221,11,-,
,Newton,"80,711","1,391",,1,6,9,57, ,247,"1,015",56,,
,Norfolk,"10,601",38,42,-,-,-,2, ,3,32,1,4,
,North Adams,"15,567",650,660,-,21,4,81, ,178,334,32,10,
,Northampton,"28,811",680,680,1,16,9,73, ,73,456,52,-,
,North Andover,"25,179",306,306,-,1,3,13, ,79,179,31,-,
,Northborough,"13,318",202,202,-,1,1,10, ,53,131,6,-, 
,Northbridge,"14,100",261,264,1,5,-,34, ,51,164,6,3,
,North Reading,"13,279",92,93,-,1,2,1, ,11,70,7,1,
,Norton,"16,170",193,193,-,3,2,24, ,44,110,10,-,
,Norwood,"28,955",604,605,1,1,4,21, ,45,464,68,1,
,Oxford,"13,379",352,354,-,1,1,106, ,67,151,26,2,
,Palmer,"11,912",340,348,-,4,1,30, ,66,218,21,8,
,Peabody,"49,428","1,447","1,447",-,3,17,91, ,153,"1,031",152,-,
,Pembroke,"16,697",308,313,2,3,3,18, ,54,215,13,5,
,Pepperell,"11,014",145,145,-,-,-,10, ,47,78,10,-,
,Pittsfield,"45,721","1,530",,-,4,20,85, ,328,989,104,,
,Plymouth,"50,037","1,189","1,194",1,16,14,97, ,203,798,60,5,
,Quincy,"86,146","2,739",,-,20,45,165, ,671,"1,552",286,,
,Randolph,"30,706",628,,-,12,7,17, ,89,440,63,,
,Raynham,"10,838",519,,-,2,4,46, ,40,389,38,,
,Reading,"23,478",168,168,-,-,1,1, ,38,119,9,-,
,Revere,"41,853","1,630",,1,10,42,263, ,216,715,383,,
,Rockland,"17,811",493,,-,5,5,82, ,75,275,51,,
,Salem,"38,526","1,388","1,388",-,8,26,82, ,165,950,157,-,
,Sandwich,"18,832",313,313,-,4,2,53, ,31,208,15,-,
,Saugus,"26,697","1,358","1,365",-,1,21,219, ,164,809,144,7,
,Scituate,"17,657",75,76,-,3,1,16, ,47,2,6,1,
,Seekonk,"13,400",779,782,-,3,5,96, ,67,542,66,3,
,Sharon,"17,019",134,134,-,-,-,6, ,15,109,4,-,
,Shrewsbury,"27,918",628,630,-,2,3,3, ,82,518,20,2,
,Somerset,"17,791",370,376,-,2,2,37, ,57,242,30,6,
,Somerville,"74,438","1,976",,-,17,52,101, ,260,944,602,,
,Southbridge,"17,540",734,743,-,10,8,283, ,165,244,24,9,
,South Hadley,"17,175",353,357,-,7,1,53, ,44,229,19,4,
,Spencer,"12,489",207,,-,5,1,33, ,38,101,29,,
,Springfield,"148,820","11,951","12,166",7,132,490,"2,247", ,"3,043","4,591","1,441",215,
,Stoneham,"22,356",403,,1,1,7,16, ,81,250,47, ,
,Stoughton,"27,790",377,,-,1,9,15, ,35,253,64,,
,Sudbury,"15,621",124,124,-,-,-,2, ,24,98,-,-,
,Swampscott,"13,931",330,330,-,1,5,2, ,32,276,14,-,
,Swansea,"15,625",489,494,-,-,8,106, ,96,243,36,5,
,Taunton,"52,793","1,636",,-,11,35,184, ,246,998,162,,
,Tewksbury,"29,203",612,612,-,6,9,23, ,85,440,49,-,
,Tyngsboro,"10,343",256,258,-,-,3,15, ,46,161,31,2,
,Uxbridge,"11,373",245,251,-,2,5,79, ,51,104,4,6,
,Wakefield,"24,885",271,275,-,-,3,19, ,39,192,18,4,
,Walpole,"22,743",274,274,-,1,1,1, ,30,224,17,-,
,Waltham,"58,807","1,101",,1,12,6,80, ,156,771,75,,
,Watertown,"32,583",825,,-,-,6,104, ,64,589,62,,
,Wayland,"12,399",163,163,-,-,2,1, ,34,124,2,-,
,Webster,"16,189",463,468,-,7,7,74, ,104,245,26,5,
,Wellesley,"26,911",379,379,1,2,1,41, ,65,258,11,-,
,Westborough,"15,498",407,407,-,1,-,55, ,65,254,32,-,
,Westfield,"37,741","1,101","1,114",-,9,9,285, ,211,509,78,13,
,Westford,"19,648",165,165,-,-,1,4, ,43,110,7,-,
,Westport,"14,221",202,203,-,4,1,50, ,42,90,15,1,
,West Springfield,"26,018","1,542",,-,13,28,61, ,179,"1,054",207,,
,Westwood,"13,220",135,,1,-,2,7, ,27,91,7,,
,Weymouth,"55,153",949,,-,8,15,143, ,109,564,110,,
,Wilbraham,"12,476",296,302,-,3,1,23, ,43,198,28,6,
,Wilmington,"20,687",469,,-,9,9,91, ,71,260,29,,
,Winchester,"20,432",314,315,-,-,1,4, ,41,253,15,1,
,Winthrop,"17,257",280,280,-,2,1,66, ,57,117,37,-,
,Woburn,"37,239",881,886,-,3,12,23, ,75,681,87,5,
,Worcester,"167,295","9,739","9,797",8,148,341,"1,248", ,"1,557","5,274","1,163",58,
,Wrentham,"10,306",124,,-,2,-,7, ,14,91,10,,
,Yarmouth,"22,901",761,,-,9,4,63, ,184,475,26,,
MICHIGAN,Allen Park,"31,915",690,697,-,6,9,41, ,150,386,98,7,
,Alpena,"11,636",337,341,-,5,7,12, ,39,258,16,4,
,Ann Arbor,"110,488","4,008","4,041",3,16,100,243, ,859,"2,581",206,33,
,Auburn Hills,"19,402","1,308","1,311",-,9,12,38, ,141,"1,005",103,3,
,Battle Creek,"76,423","4,854","4,897",9,27,133,457, ,930,"2,944",354,43,
,Bay City,"35,653","1,925","1,936",1,20,28,171, ,363,"1,230",112,11,
,Bedford Township,"10,034",295,299,-,1,1,30, ,75,162,26,4,
,Benton Harbor,"11,941",938,949,5,13,23,177, ,235,390,95,11,
,Benton Township,"16,036","2,195","2,200",1,11,38,133, ,431,"1,447",134,5,
,Berkley,"16,699",315,316,-,1,10,7, ,64,215,18,1,
,Berrien Springs-Oronoko,"12,428",239,243,-,5,3,9, ,54,160,8,4,
,Beverly Hills,"10,338",204,204,-,1,3,3, ,44,148,5,-,
,Big Rapids,"10,660",357,361,-,4,2,102, ,7,229,13,4,
,Birmingham,"20,086",681,684,-,-,7,4, ,52,579,39,3,
,Blackman Township,"20,845",616,620,-,5,10,25, ,107,419,50,4,
,Bloomfield Township,"43,055",992,999,-,4,14,30, ,114,801,29,7,
,Bridgeport Township,"12,303",395,396,-,4,5,21, ,69,266,30,1,
,Buena Vista Township,"10,343",697,701,-,11,21,47, ,190,378,50,4,
,Burton,"27,359","1,959","1,967",2,12,58,99, ,385,"1,181",222,8,
,Cadillac,"10,488",480,486,-,9,1,24, ,39,383,24,6,
,Canton Township,"75,608","2,038","2,058",-,25,32,50, ,240,"1,510",181,20,
,Chesterfield Township,"32,887",695,698,-,-,8,20, ,71,557,39,3,
,Clawson,"13,713",243,243,-,1,3,31, ,26,171,11,-,
,Clinton Township,"98,316","2,882","2,899",2,69,45,677, ,412,"1,282",395,17,
,Davison Township,"16,966",509,514,-,6,1,15, ,96,343,48,5,
,Dearborn,"92,126","6,225","6,250",1,11,130,637, ,459,"3,943","1,044",25,
,Dearborn Heights,"60,088","2,020","2,029",4,8,60,84, ,296,"1,261",307,9,
,Detroit,"975,020","101,561","103,682",415,790,"7,823","12,948", ,"18,278","34,537","26,770","2,121",
,Dewitt Township,"11,753",319,322,-,3,3,22, ,52,220,19,3,
,Eastpointe,"34,307","1,523","1,528",2,21,69,135, ,169,860,267,5,
,Emmett Township,"12,646",576,580,1,5,7,35, ,91,406,31,4,
,Farmington Hills,"80,162","2,231","2,253",-,20,26,152, ,339,"1,537",157,22,
,Fenton,"10,120",283,284,-,4,3,11, ,46,197,22,1,
,Ferndale,"24,574",968,977,-,21,40,42, ,195,535,135,9,
,Flint,"132,292","14,576","14,734",39,137,740,"2,180", ,"3,718","5,966","1,796",158,
,Flint Township,"33,787","3,100","3,108",1,21,72,90, ,357,"2,154",405,8,
,Flushing Township,"10,275",118,120,-,-,-,3, ,23,88,4,2,
,Fraser,"15,563",556,561,-,8,7,19, ,47,426,49,5,
,Garden City,"32,905",727,728,-,2,10,27, ,103,538,47,1,
,Genesee Township,"23,920","1,353","1,359",1,11,36,121, ,507,557,120,6,
,Grand Blanc Township,"27,452",971,976,1,7,9,57, ,169,637,91,5,
,Grand Haven,"12,039",466,469,2,7,1,22, ,43,367,24,3,
,Grandville,"16,561",515,517,-,16,5,18, ,76,363,37,2,
,Green Oak Township,"14,652",285,285,-,2,1,16, ,40,190,36,-,
,Grosse Ile Township,"11,562",158,160,-,-,-,6, ,18,126,8,2,
,Grosse Pointe Farms,"10,421",208,211,-,1,5,3, ,4,172,23,3,
,Grosse Pointe Park,"13,099",399,400,-,1,13,6, ,24,302,53,1,
,Grosse Pointe Woods,"18,106",275,275,-,-,3,1, ,15,223,33,-,
,Hamburg Township,"13,351",218,218,1,2,-,7, ,37,153,18,-,
,Hamtramck,"18,127","1,926","1,931",-,8,87,164, ,346,579,742,5,
,Harper Woods,"15,166","1,248","1,249",1,1,30,10, ,80,919,207,1,
,Hazel Park,"19,776",809,811,-,14,12,41, ,86,514,142,2,
,Highland Park,"19,384","2,507","2,525",15,18,185,279, ,367,816,827,18,
,Holland,"33,407","1,404","1,414",-,22,9,97, ,150,"1,072",54,10,
,Huron Township,"14,361",387,390,3,3,4,15, ,102,206,54,3,
,Inkster,"31,308","1,784","1,820",8,14,82,233, ,403,607,437,36,
,Ionia,"10,899",246,247,-,6,1,14, ,18,196,11,1,
